주차장관리번호,주차장명,주차장구분,주차장유형,소재지지번주소,소재지도로명주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,연락처,위도(WGS84좌표),경도(WGS84좌표),데이터기준일자
1,경동고교 부설(야간전용),노외,지평식,삼선동3가 43-1,보문로29길 49,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58660187,127.016032,2026-02-24
2,광남제니텔,노외,기계식,삼선동5가 298-10,보문로 167,15,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58912104,127.0160733,2026-02-24
3,길음교하단(길음동 877-181),노외,지평식,길음동 877-181,동소문로 225-7,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60208011,127.0211143,2026-02-24
4,돌곶이로 27가길(사랑제일교회밑,노외,지평식,장위동 69-72,돌곶이로 27가길,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6133019,127.0531901,2026-02-24
5,돌곶이로 34길 4-11(진흥선원(공,노외,지평식,장위동 76-59,돌곶이로 34길 4-11,22,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61560206,127.0532016,2026-02-24
6,돌곶이로 38길(제2공동(270-214),노외,지평식,석관동 306-6,돌곶이로 38길,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61734056,127.0492695,2026-02-24
7,동소문로 43나길6-2(구등기소(공,노외,지평식,동소문동4가 75,동소문로 43나길6-2,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60795268,127.0268531,2026-02-24
8,동소문로13나길 15-9(동소문6가2,노외,지평식,동소문6가2,동소문로13나길 15-9,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59254876,127.0132592,2026-02-24
9,동소문로316(현대백화점 별관 부,노외,건축식,하월곡동 88-198,동소문로316,20,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60762835,127.029731,2026-02-24
10,래미안석관,노외,지평식,석관동 407,화랑로 214,22,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60935253,127.0555357,2026-02-24
11,보국문로 16가길 53(공동266-56,노외,건축식,정릉동 266-56,보국문로 16가길 53,68,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61282047,127.011067,2026-02-24
12,보문국로 8길 65(공동(410-45),노외,지평식,정릉동 410-45,보문국로 8길 65,11,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60950395,127.010894,2026-02-24
13,보문로171(노블레스 클래식 부설,노외,기계식,삼선동5가 298-7,보문로171,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58930848,127.0158379,2026-02-24
14,보문로29나길(드림빌 부설주차장,노외,지평식,삼선동5가 153-11,보문로29나길,2,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58805258,127.0152228,2026-02-24
15,보문사길20(보문사지구),노외,지평식,보문동3가 168,보문사길20,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58447542,127.0168354,2026-02-24
16,삼선 SH vill,노외,지평식,삼선동3가 115,보문로29다길 25-9,21,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58490107,127.0138715,2026-02-24
17,삼선교로23길23(삼선동코오롱아,노외,지평식,삼선동4가 73,삼선교로23길23,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59084772,127.0130166,2026-02-24
18,삼선교로4길(공동278-5),노외,지평식,삼선동1가 22-2,삼선교로4길,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58471785,127.0073908,2026-02-24
19,서경로 18길19(서경대입구(공동,노외,지평식,정릉동 227-44,서경로 18길19,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.6109839,127.0135808,2026-02-24
20,석관실버복지센터(야간전용) ,노외,지평식,석관동 261-394,화랑로32길 88,1,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60670952,127.0582472,2026-02-24
21,성북구육아지원센터(야간전용),노외,지평식,보문동5가 35,지봉로24길 26,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58387317,127.0193238,2026-02-24
22,성북동131-80(경신고옆공동주차,노외,지평식,성북동131-80,창경궁로35다길 130,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,554602,313385,2026-02-24
23,성북동236-1(성북동 노외주차장),노외,지평식,성북동236-1,성북동236-1,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59476577,126.9935457,2026-02-24
24,성북동256-2(금왕돈까스앞공동),노외,지평식,성북동256-2,성북로 138,0,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59486944,126.9945139,2026-02-24
25,성북동274-2(수월암앞),노외,지평식,성북동274-2,성북로 170,1,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59496383,126.9910319,2026-02-24
26,성북로15길(최순우옛집),노외,지평식,성북동 126-20,성북로15길 9,6,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,554602,313385,2026-02-24
27,성북로37길(동청사(공동117-1),노외,건축식,성북동1가 117-1,성북로37길,34,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.59027352,127.0043444,2026-02-24
28,솔샘로 16길 19(건축식(공동712-,노외,건축식,정릉동 712-9,솔샘로 16길 19,27,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61145642,127.0052899,2026-02-24
29,솔샘로 4길 38-12(시장구역(공동,노외,지평식,정릉동 374-4,솔샘로 4길 38-12,14,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60880856,127.0061202,2026-02-24
30,숭인로2길(SH동부아파트),노외,지평식,길음동 1278-2,숭인로2,13,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60985923,127.0257827,2026-02-24
31,아리랑로19가길(꿈에그린아파트),노외,건축식,정릉2동,아리랑로19가길,10,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.60149358,127.0110582,2026-02-24
32,아리랑로4가길 7-1청기와(공동5,노외,지평식,동선동5가 43-2,아리랑로4가길 7-1,4,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.5950789,127.0157717,2026-02-24
33,영천교회부설(장위로34),노외,지평식,장위동 231-46,장위로34,5,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61412579,127.0404828,2026-02-24
34,우리마을공동 제10호(성락원),노외,지평식,성북동 4,선잠로2길 29-4,9,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.58731362,127.0185046,2026-02-24
35,우리마을공동 제17호(802),노외,지평식,정릉동 802,정릉동 802,3,5,시행안함,월~일,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:24:00주간:08:00야간:19:00,주간:19:00야간:08:00,전일:65000주간:39000야간:26000,없음,없음,0,0,없음,없음,전일:65000주간:39000야간:26000,"지로,가상계좌,계좌,직접",없음,성북구도시관리공단 거주자주차센터,02-914-2008,37.61825924,127.0022427,2026-02-24
